=======  节点名是！  =======
======= 提取了vecters们！ =======
x: -0.3096429, y: -0.05862475, z: 0.2150463
x: -0.2296642, y: -0.1557069, z: 0.3280659
x: -0.2404512, y: -0.1555126, z: 0.1824912
x: -0.1492969, y: -0.2203313, z: 0.1972625
x: -0.1250992, y: -0.2088641, z: 0.3046457
x: -0.08010518, y: -0.2336448, z: 0.2087297
x: -0.03627729, y: -0.2279112, z: 0.2786988
x: 0.02193315, y: 0.01892439, z: 0.2897772
x: -0.0003209244, y: -0.1235406, z: 0.3401162
x: -0.0003209244, y: 0.01717515, z: 0.2982319
x: 0.1172661, y: -0.1241237, z: 0.3436146
x: -0.0003209244, y: -0.1493903, z: 0.4056151
x: 0.1151282, y: -0.130829, z: 0.4116402
x: 0.08947282, y: -0.08117037, z: 0.2020729
x: 0.05720926, y: 0.01712657, z: 0.2003236
x: 0.1795581, y: -0.1060969, z: 0.201344
x: 0.2510821, y: -0.06494141, z: 0.3620787
x: 0.2631809, y: -0.05541784, z: 0.2004208
x: 0.2446683, y: -0.06348372, z: 0.4363238
x: 0.2896137, y: 0.03199501, z: 0.2026559
x: 0.2816936, y: 0.03058591, z: 0.3701446
x: 0.2749882, y: 0.02805924, z: 0.4485683
x: 0.2548721, y: 0.1250443, z: 0.203239
x: 0.2518595, y: 0.1365114, z: 0.380154
x: 0.2510821, y: 0.1289314, z: 0.4566342
x: 0.1787806, y: 0.1652765, z: 0.2057657
x: 0.1218335, y: 0.1894742, z: 0.3834582
x: 0.1194041, y: 0.1768409, z: 0.4653804
x: -0.0003209244, y: 0.192098, z: 0.4649917
x: -0.0003209244, y: 0.1992893, z: 0.3790851
x: 0.07917181, y: 0.1303891, z: 0.2965798
x: 0.09394307, y: 0.1150834, z: 0.1984772
x: 0.05720926, y: 0.01712657, z: 0.2003236
x: -0.0003209244, y: 0.1300004, z: 0.3113511
x: 0.02193315, y: 0.01892439, z: 0.2897772
x: -0.0003209244, y: 0.01717515, z: 0.2982319
x: 0.2548721, y: 0.1250443, z: 0.203239
x: 0.1866522, y: 0.1732452, z: 0.08171621
x: 0.1787806, y: 0.1652765, z: 0.2057657
x: 0.2635211, y: 0.1328186, z: 0.08006416
x: 0.1861663, y: 0.1770352, z: -0.0006918926
x: 0.2679913, y: 0.1400099, z: -0.0006918926
x: 0.3013238, y: 0.03952641, z: 0.002612205
x: 0.2964649, y: 0.03311257, z: 0.08259083
x: 0.2896137, y: 0.03199501, z: 0.2026559
x: 0.2913144, y: -0.08369703, z: -0.0006918926
